iter	Accuracy	MultiClass
787	0.5907041771	1.7379548
788	0.5908183063	1.737835544
789	0.5908753709	1.737679843
790	0.5909609678	1.737354062
791	0.5909895001	1.737178187
792	0.5910465647	1.736957842
793	0.591075097	1.736629274
794	0.5911036293	1.736512025
795	0.591075097	1.736315865
796	0.5910465647	1.735991422
797	0.5913033554	1.735767844
798	0.5912177585	1.735614149
799	0.5911892262	1.735331724
800	0.5912177585	1.735137347
801	0.5911606939	1.73498042
802	0.5912462908	1.734677264
803	0.5913318877	1.734461934
804	0.5913889523	1.734139386
805	0.5914174846	1.733967857
806	0.5915886784	1.733578548
807	0.5915886784	1.73336645
808	0.591645743	1.733179987
809	0.5915316138	1.732854206
810	0.5915886784	1.732555732
811	0.591645743	1.732292477
812	0.5916742753	1.732037023
813	0.5918740014	1.731807873
814	0.5918740014	1.731615838
815	0.5918169368	1.731396496
816	0.5919595983	1.731236224
817	0.5920737275	1.731005625
818	0.5921307921	1.730857948
819	0.5921593244	1.730409568
820	0.5921593244	1.730213074
821	0.5921307921	1.72999362
822	0.5921593244	1.729725684
823	0.5923305181	1.729219013
824	0.5923019858	1.729079138
825	0.5923590504	1.728820675
826	0.592416115	1.728614819
827	0.592416115	1.728419774
828	0.5926729057	1.728137572
829	0.5926158411	1.727940075
830	0.5926729057	1.727756175
831	0.5926729057	1.727540957
832	0.5926443734	1.727277591
833	0.5926729057	1.727022583
834	0.592701438	1.726647205
835	0.5927299703	1.726313177
836	0.5927299703	1.726060398
837	0.5927870349	1.725749329
838	0.5928155672	1.725624166
839	0.5929011641	1.725326695
840	0.5929296964	1.725216912
841	0.5929011641	1.725089632
842	0.5929296964	1.72489871
843	0.5929582287	1.724765968
844	0.592986761	1.724616842
845	0.5929011641	1.724375321
846	0.592986761	1.724130679
847	0.5928440995	1.723751734
848	0.5928440995	1.723600045
849	0.592986761	1.723466077
850	0.5929011641	1.723142302
851	0.5929296964	1.722943245
852	0.5931008902	1.722687123
853	0.5931579548	1.722451954
854	0.5931864871	1.722074347
855	0.5931864871	1.721831934
856	0.5933006163	1.721649706
857	0.5933006163	1.72140094
858	0.5932435517	1.721247691
859	0.593272084	1.721164992
860	0.5933291486	1.720978863
861	0.5934147455	1.72074258
862	0.5935003424	1.720516773
863	0.593557407	1.720311363
864	0.5935288747	1.720130584
865	0.5936144716	1.719996728
866	0.5936715362	1.71985663
867	0.5936715362	1.719614105
868	0.5936715362	1.719506329
869	0.5937286008	1.719316411
870	0.5937000685	1.71923895
871	0.5937856654	1.719026964
872	0.59384273	1.718842173
873	0.5939283269	1.718649691
874	0.5939283269	1.718293037
875	0.5940139238	1.718066116
876	0.5940995207	1.717876533
877	0.5941565853	1.71767324
878	0.5941565853	1.717262197
879	0.5942992467	1.716982001
880	0.5942707144	1.716703142
881	0.5944989728	1.716374463
882	0.5945560374	1.716030404
883	0.5945845697	1.715817303
884	0.5946416343	1.715656809
885	0.5947272312	1.715497429
886	0.5947272312	1.715212218
887	0.5948128281	1.714954647
888	0.594898425	1.714618612
889	0.5949554896	1.71449122
890	0.5949840219	1.714352794
891	0.5950696188	1.714151173
892	0.5951552157	1.713956239
893	0.5951552157	1.713795188
894	0.5950981511	1.713515995
895	0.5950696188	1.713411451
896	0.5951552157	1.713246387
897	0.5953834741	1.712954042
898	0.5953549418	1.712775381
899	0.5954120064	1.712525055
900	0.5953834741	1.712316078
901	0.5954120064	1.712222011
902	0.5954405387	1.712003783
903	0.5954405387	1.711876948
904	0.5954405387	1.711539242
905	0.5955261356	1.711380196
906	0.595469071	1.711096434
907	0.5954976033	1.710886677
908	0.5956117325	1.710536599
